run,parameter,joint,value,lower,upper,normalized_distance_to_boundary
C,frictionloss,FR-calf,0.6999192237854004,0.0,0.699999988079071,0.00011537756435151721
C,frictionloss,RL-abad,0.14483195543289185,0.0,0.699999988079071,0.20690279699909342
C,frictionloss,RL-thigh,0.1213475912809372,0.0,0.699999988079071,0.17335370478210627
C,frictionloss,RL-calf,0.5049746036529541,0.0,0.699999988079071,0.2786076967819707
C,frictionloss,RR-abad,0.15086916089057922,0.0,0.699999988079071,0.2155273763712368
C,frictionloss,RR-thigh,0.1813841164112091,0.0,0.699999988079071,0.2591201707145175
C,frictionloss,RR-calf,0.5063278675079346,0.0,0.699999988079071,0.2766744626705044
C,bias,FL-abad,0.0,-0.0,0.0,
C,bias,FL-thigh,0.0,-0.0,0.0,
C,bias,FL-calf,0.0,-0.0,0.0,
C,bias,FR-abad,0.0,-0.0,0.0,
C,bias,FR-thigh,0.0,-0.0,0.0,
C,bias,FR-calf,0.0,-0.0,0.0,
C,bias,RL-abad,0.0,-0.0,0.0,
C,bias,RL-thigh,0.0,-0.0,0.0,
C,bias,RL-calf,0.0,-0.0,0.0,
C,bias,RR-abad,0.0,-0.0,0.0,
C,bias,RR-thigh,0.0,-0.0,0.0,
C,bias,RR-calf,0.0,-0.0,0.0,
C,delay,shared,5.685327053070068,0.0,10.0,0.43146729469299316
D,armature,FL-abad,0.014647770673036575,9.999999747378752e-06,1.0,0.014637917052456022
D,armature,FL-thigh,0.016018664464354515,9.999999747378752e-06,1.0,0.01600882455284862
D,armature,FL-calf,0.040741827338933945,9.999999747378752e-06,1.0,0.04073223466152289
D,armature,FR-abad,0.01504154410213232,9.999999747378752e-06,1.0,0.015031694419325338
D,armature,FR-thigh,0.01674341969192028,9.999999747378752e-06,1.0,0.016733587028038954
D,armature,FR-calf,0.04317310452461243,9.999999747378752e-06,1.0,0.043163536160215746
D,armature,RL-abad,0.018572965636849403,9.999999747378752e-06,1.0,0.01856315126861002
D,armature,RL-thigh,0.019795982167124748,9.999999747378752e-06,1.0,0.01978618002917266
D,armature,RL-calf,0.0382513590157032,9.999999747378752e-06,1.0,0.038241741433360496
D,armature,RR-abad,0.022720811888575554,9.999999747378752e-06,1.0,0.02271103899921243
D,armature,RR-thigh,0.021187318488955498,9.999999747378752e-06,1.0,0.021177530264505414
D,armature,RR-calf,0.04023781418800354,9.999999747378752e-06,1.0,0.0402282164704107
D,damping,FL-abad,0.5506440997123718,0.0,5.0,0.11012881994247437
D,damping,FL-thigh,0.41596800088882446,0.0,5.0,0.08319360017776489
D,damping,FL-calf,0.5968105792999268,0.0,5.0,0.11936211585998535
D,damping,FR-abad,0.5592684745788574,0.0,5.0,0.11185369491577149
D,damping,FR-thigh,0.44562265276908875,0.0,5.0,0.08912453055381775
D,damping,FR-calf,0.6660085916519165,0.0,5.0,0.1332017183303833
D,damping,RL-abad,0.5482549667358398,0.0,5.0,0.10965099334716796
D,damping,RL-thigh,0.45762374997138977,0.0,5.0,0.09152474999427795
D,damping,RL-calf,0.5883988738059998,0.0,5.0,0.11767977476119995
D,damping,RR-abad,0.566015362739563,0.0,5.0,0.11320307254791259
D,damping,RR-thigh,0.47099560499191284,0.0,5.0,0.09419912099838257
D,damping,RR-calf,0.6166810989379883,0.0,5.0,0.12333621978759765
D,frictionloss,FL-abad,0.27187302708625793,0.0,0.699999988079071,0.38839004530889726
D,frictionloss,FL-thigh,0.27718257904052734,0.0,0.699999988079071,0.39597511965845517
D,frictionloss,FL-calf,0.6999965310096741,0.0,0.699999988079071,4.938670651208855e-06
D,frictionloss,FR-abad,0.22907759249210358,0.0,0.699999988079071,0.3272537091332454
D,frictionloss,FR-thigh,0.2507038414478302,0.0,0.699999988079071,0.35814835102470177
D,frictionloss,FR-calf,0.6999890208244324,0.0,0.699999988079071,1.566750689349016e-05
D,frictionloss,RL-abad,0.2715330421924591,0.0,0.699999988079071,0.38790435259519906
D,frictionloss,RL-thigh,0.24793574213981628,0.0,0.699999988079071,0.35419392337448125
D,frictionloss,RL-calf,0.5774086713790894,0.0,0.699999988079071,0.17513045541099914
D,frictionloss,RR-abad,0.3118087351322174,0.0,0.699999988079071,0.445441057774698
D,frictionloss,RR-thigh,0.2888690233230591,0.0,0.699999988079071,0.4126700403463847
D,frictionloss,RR-calf,0.5452414751052856,0.0,0.699999988079071,0.22108359372758174
D,bias,FL-abad,0.0,-0.0,0.0,
D,bias,FL-thigh,0.0,-0.0,0.0,
D,bias,FL-calf,0.0,-0.0,0.0,
D,bias,FR-abad,0.0,-0.0,0.0,
D,bias,FR-thigh,0.0,-0.0,0.0,
D,bias,FR-calf,0.0,-0.0,0.0,
D,bias,RL-abad,0.0,-0.0,0.0,
D,bias,RL-thigh,0.0,-0.0,0.0,
D,bias,RL-calf,0.0,-0.0,0.0,
D,bias,RR-abad,0.0,-0.0,0.0,
D,bias,RR-thigh,0.0,-0.0,0.0,
D,bias,RR-calf,0.0,-0.0,0.0,
D,delay,shared,4.705981731414795,0.0,10.0,0.4705981731414795
